Feature,Importance
Feature_50,0.20813247814097002
Feature_1,0.13400420063502555
Feature_3,0.09119841378775917
Feature_2,0.059940527945174765
Feature_8,0.05735835050165768
Feature_6,0.04330920793246266
Feature_9,0.0430078772790334
Feature_5,0.03420453150131836
Feature_0,0.03332203501890037
Feature_7,0.02575853889185349
Feature_49,0.014878106574274241
Feature_51,0.014352707762170513
Feature_48,0.012505741989736452
Feature_31,0.01193255420856433
Feature_35,0.01185218663889742
Feature_36,0.010858388524083561
Feature_4,0.010177755892999869
Feature_32,0.009899270778389401
Feature_61,0.00936116262213537
Feature_18,0.008988437300105779
Feature_52,0.008971210420125483
Feature_62,0.008830537074846595
Feature_53,0.007802186591834207
Feature_24,0.007672294259832435
Feature_20,0.007249911407726193
Feature_13,0.006964795063614675
Feature_23,0.006930490134969899
Feature_39,0.005285641065825443
Feature_14,0.0052429430780397725
Feature_29,0.004814367841072807
Feature_21,0.004782139034041809
Feature_30,0.004230198451444299
Feature_25,0.004099886622333131
Feature_57,0.004066741498589134
Feature_63,0.003978582899226417
Feature_56,0.003939829058023454
Feature_19,0.0039084896967570846
Feature_12,0.003898772229924423
Feature_66,0.0037573388337705117
Feature_16,0.0036864069685296212
Feature_55,0.003640785187092052
Feature_17,0.00361377730629412
Feature_58,0.003481104742456627
Feature_26,0.0034650418761011915
Feature_15,0.0034376830710531616
Feature_40,0.003281902901442685
Feature_54,0.002796417206753809
Feature_10,0.002778504544729157
Feature_11,0.0025544872580497663
Feature_34,0.00241866840744128
Feature_33,0.0023277376583115887
Feature_60,0.002128972446006993
Feature_65,0.0020256170850791303
Feature_22,0.0016103040735909802
Feature_44,0.0011250486856039378
Feature_41,0.0010870256768010726
Feature_45,0.0007563000981444304
Feature_64,0.0006025854240711184
Feature_59,0.0005455694633269835
Feature_46,0.0002854181225015169
Feature_27,0.00021584835094917495
Feature_28,0.0001694437978586756
Feature_47,0.00015845611148205738
Feature_67,6.614025903101788e-05
Feature_43,5.785603173706926e-05
Feature_42,5.467306869364505e-05
Feature_37,5.4579466504994336e-05
Feature_68,5.354799644987803e-05
Feature_38,5.1267526402028055e-05
